H,F,E,W,S,R
288,13.5,2030,4544,320,3
184,11.2,3040,5015,315,3
182,6.56,2090,4563,227,3
184,9.8,3080,5265,296,3
207,7.04,1940,3780,241,2
182,4.2,2090,4732,230,2
262,16,3260,5333,312,2
176,5.08,2580,5489,215,2
155,9,2340,4975,307,2
155,9,2340,5049,290,2
207,5.04,1940,3721,205,2
160,5.56,1310,4122,207,2
207,5.04,1940,3721,232,2
176,5.08,2580,5489,202,2
123,7.64,1830,5090,220,2
182,4.56,2090,4361,222,2
123,6.64,1830,5063,213,2
123,10,1830,4718,266,2
123,7.64,1830,4745,206,2
121,5.4,1640,4124,241,2
140,5.44,1310,4166,201,2
114,5.28,1410,4134,183,2
106,7.36,1450,4343,264,2
143,5.6,1510,3750,197,2
134,4.92,1730,4066,232,2
121,11.25,1640,3733,262,2
121,7.88,1640,3659,260,2
200,4.8,1810,4238,229,2
160,10.2,1410,4116,185,2
162,4.68,1300,4262,156,2
110,7.8,1360,3988,261,2
70,9.72,900,2530,199,2
160,7.4,1210,3843,157,2
162,5.68,1300,4111,196,2
160,7.3,1810,4238,208,2
72,8.4,1340,3645,183,2
120,6.03,1400,3605,150,2
160,6.4,1210,3791,164,2
142,5.8,1340,4226,185,2
70,11.72,900,2577,158,2
95,8.58,1520,4390,189,2
110,7.3,1360,3839,260,2
116,7.48,1460,4016,169,2
115,4.8,1360,3812,266,2
160,10.4,1810,4146,270,2
95,7,1520,4705,155,2
101,8.24,1080,3233,154,2
95,10.34,1520,4390,164,2
114,7.12,1410,3985,174,2
95,5.6,1200,4435,187,2
97,5.16,1200,4151,153,2
161,6.28,1710,4018,209,2
114,8.24,1410,4107,178,2
175,5.16,1400,3929,189,2
111,9,1300,3440,170,2
154,6.4,1520,3811,269,2
101,8.24,1080,3233,194,2
161,9.7,1710,4072,269,1
114,6.24,1410,3962,191,1
156,9.9,1610,4254,262,1
156,7.28,1710,4227,219,1
135,4.68,800,3375,83,1
95,9,1200,4151,196,1
110,8.9,1210,3723,169,1
110,6.28,1360,3384,265,1
110,6.88,1210,3654,158,1
60,11.6,790,2480,176,1
145,6.45,1560,3943,179,1
145,8.2,1560,3950,190,1
152,6.68,1810,4450,231,1
68,8.28,910,2565,159,1
102,8.9,1090,3155,171,1
95,8,1520,4631,168,1
68,9.52,970,3482,174,1
101,5.8,700,3220,75,1
152,7.28,1810,4131,217,1
152,5.68,1810,4178,208,1
111,5.76,1300,3440,191,1
114,6.12,1410,4096,162,1
110,6.16,1360,3592,228,1
95,10.73,1520,4316,178,1
145,5.16,1560,3795,198,1
101,8.24,1100,3328,194,1
114,7.12,1410,3931,195,1
145,5.85,1560,3804,200,1
145,6.16,1560,3825,152,1
97,5.16,1200,4361,156,1
88,8.8,1090,3460,162,1
110,7.88,1210,3638,200,1
97,7.16,1200,4077,174,1
110,7.8,1210,3588,188,1
101,4.9,700,3213,87,1
111,5.52,1080,3578,195,1
90,7.36,1090,3043,154,1
116,8.53,1460,3664,184,1
111,8.36,1080,3389,181,1
92,9.08,1220,3318,190,1
84,8.96,1220,3274,176,1
116,8.48,1460,3617,152,1
69,8.16,970,2589,179,1
90,6.36,1190,3691,183,1
101,5.8,700,3213,90,1
92,9.08,1220,3259,190,1
64,11.36,1220,3298,165,1
73,9.56,1100,3348,167,1
84,8.96,1220,3220,181,1
62,10.28,920,2720,181,1
100,7.62,1100,3096,194,1
86,7.2,1100,3202,170,1
84,9.8,1220,3254,177,1
94,8,1080,3314,154,1
100,11.2,1090,3105,157,1
116,6.48,1460,3444,182,1
92,7.08,1220,3259,182,1
90,8.36,1090,2998,160,1
94,8.1,1080,3159,150,1
116,6.36,1100,3200,182,1
110,11.3,1320,3321,170,1
116,8.48,1460,3424,152,1
97,8.32,1200,3108,164,1
112,8.3,980,3105,151,1
68,9.48,970,3131,162,1
112,8.6,980,3058,150,1
90,6.48,1320,3482,175,1
116,7.36,1100,3244,188,1
116,6.36,1100,3244,172,1
70,7.44,980,2889,169,1
82,6.88,1080,3220,162,1
68,10.28,900,2533,174,1
86,10.5,1100,3090,184,1
97,7.32,1200,3137,177,1
92,8.56,1220,3140,188,1
88,8.48,1220,3422,165,1
88,5.9,1220,3422,178,1
86,10.4,1100,3110,166,1
84,6.7,1220,3220,162,1
62,8.08,920,4199,165,1
102,10.6,980,2958,189,1
88,9.9,1220,3143,198,1
85,8.32,1090,3071,157,1
84,9.96,1220,3254,170,1
116,6.8,1460,3429,155,1
68,9.36,900,2533,194,1
70,9.45,980,2865,159,1
69,8.16,970,2711,176,1
70,8.49,980,2975,197,1
85,9.32,1090,2986,159,1
88,10.6,1220,3247,164,1
70,8.56,980,2928,151,1
82,7.24,1080,3267,160,1
69,8.16,970,2750,188,0
52,11.96,970,3056,190,0
85,8.32,1090,2982,192,0
102,7.48,980,2873,164,0
102,7.48,980,2873,185,0
56,9.4,1100,3071,176,0
62,8.08,920,3092,152,0
86,7.8,1100,3019,166,0
68,8.28,900,2655,194,0
69,9.16,970,2738,153,0
56,7,1100,3071,187,0
52,11.96,970,3052,188,0
82,9.54,1080,2957,166,0
70,8,980,2827,181,0
76,9.68,920,2619,152,0
68,11.36,920,2589,167,0
102,10,980,2896,192,0
68,8.28,900,2685,169,0
68,9.28,980,2958,189,0
73,7.84,1080,3024,159,0
68,8.48,910,2552,174,0
69,9.16,970,2661,168,0
82,9.2,1080,3092,173,0
68,9.28,900,2655,170,0
68,8.28,910,2633,187,0
69,8.16,970,2732,171,0
69,8.16,970,2634,174,0
76,8.78,920,2714,169,0
76,9.68,920,2732,179,0
70,9.04,980,2847,191,0
48,5.5,610,2009,102,0
68,10.36,900,2589,150,0
76,10.76,920,2641,170,0
82,9.28,1080,2896,153,0
55,12.4,1030,2723,198,0
73,6.84,1080,2862,168,0
88,9.2,1220,3193,183,0
70,10.04,980,2809,173,0
62,9.16,920,3078,176,0
76,8.28,920,2456,154,0
69,9.16,970,2616,158,0
68,9.28,910,2572,192,0
78,8.36,1110,3155,187,0
62,8.88,920,2680,158,0
68,10.28,910,2626,176,0
68,8.28,900,2685,199,0
68,10.28,900,2685,154,0
68,9.28,920,2705,196,0
70,11.72,900,2577,195,0
58,7,920,2313,182,0
62,10.28,920,2754,153,0
69,10.16,970,2550,189,0
70,10.72,900,2530,159,0
68,10.28,920,2624,178,0
69,9.04,970,2768,154,0
